tran_id,created_date,reached_bo_date,item_manufacturer,item_name,so_line,so_quantity,bo_quantity,item_curve,item_buyer,field,bo_status,new_value,is_dropship,IsUnder,IsAfter,Buckets,Hours 2,MAX so_amount,Under 48 hours,After 48 Hours
SO208562,03/17/2026 11:21:14.000 AM,03/17/2026 12:40:06.000 PM,Siemens,S54311-F111-A1,1,24,24,CZ,Lorena Galvao,Allocated Supply,Purchased,24,F,T,F,I. Others,1,785,1,0
SO208564,03/17/2026 11:41:15.000 AM,03/17/2026 12:40:06.000 PM,C-TEC,NC809DBBT,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,15,1,0
SO208572,03/17/2026 12:17:33.000 PM,03/17/2026 12:40:06.000 PM,Vimpex,903CHA4AO,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,18,1,0
SO208577,03/17/2026 12:38:56.000 PM,03/17/2026 01:04:57.000 PM,CheckFire,RX-SQT-002-ECF,2,3,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,3,F,T,F,A. Under 1 Hour,0,57,1,0
SO208578,03/17/2026 12:39:19.000 PM,03/17/2026 01:28:15.000 PM,Yuasa,REC80-12I,1,2,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,425,1,0
SO208657,03/17/2026 03:16:12.000 PM,03/17/2026 03:22:17.000 PM,Space Age,SSU-7-CO,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,179,1,0
SO208689,03/17/2026 04:14:16.000 PM,03/17/2026 07:40:04.000 PM,C-TEC,NCP-27,1,8,8,CZ,Arthur Malheiro,Allocated Supply,Purchased,8,F,T,F,B. 1 a 12h,3,24,1,0
SO208700,03/17/2026 04:31:20.000 PM,03/17/2026 07:40:04.000 PM,Rainbow Safety,PP58N-C/W-S/A,1,2,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,B. 1 a 12h,3,5,1,0
SO208700,03/17/2026 04:31:20.000 PM,03/17/2026 05:04:54.000 PM,CheckFire,103P,2,2,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,2,1,0
SO208700,03/17/2026 04:31:20.000 PM,03/17/2026 04:31:21.000 PM,Jewel Fire Group,6FX,4,2,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,49,1,0
SO208713,03/17/2026 04:51:43.000 PM,03/17/2026 07:40:04.000 PM,FireBlitz,FBA-P1,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,B. 1 a 12h,2,22,1,0
SO208764,03/17/2026 06:26:09.000 PM,03/17/2026 07:40:04.000 PM,Rainbow Safety,FIW.12Y-C/W-S/A,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,I. Others,1,2,1,0
SO208764,03/17/2026 06:26:09.000 PM,03/17/2026 07:04:44.000 PM,CheckFire,113P,2,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,1,1,0
SO208764,03/17/2026 06:26:09.000 PM,03/17/2026 06:26:10.000 PM,CheckFire,RX-SQT-002-ECF,3,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,19,1,0
SO208764,03/17/2026 06:26:09.000 PM,03/17/2026 06:26:10.000 PM,Jewel Fire Group,6FX,4,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,25,1,0
SO208765,03/17/2026 06:26:33.000 PM,03/17/2026 07:40:04.000 PM,Vimpex,958CHL1000,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,I. Others,1,43,1,0
SO208858,03/17/2026 09:46:44.000 PM,03/17/2026 09:49:47.000 PM,Elite Security Products,D120DBR,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,41,1,0
SO208894,03/18/2026 10:20:41.000 AM,03/18/2026 10:20:43.000 AM,Jewel Fire Group,6FX,1,2,0,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,49,1,0
SO208894,03/18/2026 10:20:41.000 AM,03/19/2026 01:03:47.000 PM,Jewel Fire Group,6FX,1,2,0,CZ,Arthur Malheiro,Committed,Purchased,2,F,T,F,D. 25 a 36h,26,49,1,0
SO208918,03/18/2026 01:16:27.000 PM,03/18/2026 01:18:11.000 PM,Simplex,4098-9733,1,3,0,AX,Lorena Galvao,Allocated Supply,Purchased,3,F,T,F,A. Under 1 Hour,0,49,1,0
SO208918,03/18/2026 01:16:27.000 PM,03/18/2026 06:29:02.000 PM,Simplex,4098-9733,1,3,0,AX,Lorena Galvao,Committed,Purchased,3,F,T,F,B. 1 a 12h,5,49,1,0
SO208918,03/18/2026 01:16:27.000 PM,03/18/2026 08:02:15.000 PM,Simplex,4098-9733,1,3,0,AX,Lorena Galvao,Fulfilled,Purchased,0,F,T,F,B. 1 a 12h,6,49,1,0
SO208918,03/18/2026 01:16:27.000 PM,03/18/2026 08:02:15.000 PM,Simplex,4098-9733,1,3,0,AX,Lorena Galvao,Fulfilled,Purchased,3,F,T,F,B. 1 a 12h,6,49,1,0
SO208960,03/18/2026 02:38:56.000 PM,03/18/2026 04:05:34.000 PM,C-TEC,NC806CS,1,2,2,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,I. Others,1,51,1,0
SO209003,03/18/2026 03:46:01.000 PM,03/18/2026 04:05:34.000 PM,Rutland UK,ETS.18314.SE,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,137,1,0
SO209006,03/18/2026 03:52:33.000 PM,03/18/2026 03:57:13.000 PM,Vesda,VBT-012,1,18,0,BY,Arthur Malheiro,Allocated Supply,Purchased,18,F,T,F,A. Under 1 Hour,0,"2,160",1,0
SO209006,03/18/2026 03:52:33.000 PM,03/18/2026 03:57:13.000 PM,Vesda,VBT-012,1,18,0,BY,Arthur Malheiro,Committed,Purchased,18,F,T,F,A. Under 1 Hour,0,"2,160",1,0
SO209006,03/18/2026 03:52:33.000 PM,03/18/2026 06:36:20.000 PM,Vesda,VBT-012,1,18,0,BY,Arthur Malheiro,Fulfilled,Purchased,18,F,T,F,B. 1 a 12h,2,"2,160",1,0
SO209027,03/18/2026 04:48:48.000 PM,03/19/2026 02:34:26.000 PM,Eaton Wheelock,SHMP-R,1,9,3,CZ,Arthur Malheiro,Allocated Supply,Purchased,3,F,T,F,C. 13 a 24h,21,114,1,0
